sub,ses,sub_ses_str,age,sex,invited,included,trials,incl_session,incl_subject
1,1,sub-001_ses-001,13.0,m,True,True,126.0,True,True
1,2,sub-001_ses-002,,,False,False,,False,True
2,1,sub-002_ses-001,6.0,f,True,True,61.0,True,True
2,2,sub-002_ses-002,10.0,f,True,True,47.0,True,True
3,1,sub-003_ses-001,8.0,f,True,True,64.0,True,True
3,2,sub-003_ses-002,10.0,f,True,True,41.0,True,True
4,1,sub-004_ses-001,8.0,m,True,True,86.0,True,True
4,2,sub-004_ses-002,10.0,m,True,True,49.0,True,True
5,1,sub-005_ses-001,9.0,m,True,True,51.0,True,True
5,2,sub-005_ses-002,,,False,False,,False,True
6,1,sub-006_ses-001,6.0,m,True,True,49.0,True,True
6,2,sub-006_ses-002,9.0,m,True,True,33.0,True,True
7,1,sub-007_ses-001,13.0,m,True,True,71.0,True,True
7,2,sub-007_ses-002,,,False,False,,False,True
8,1,sub-008_ses-001,5.0,m,True,True,46.0,True,True
8,2,sub-008_ses-002,10.0,m,True,True,38.0,True,True
9,1,sub-009_ses-001,7.0,f,True,True,47.0,True,True
9,2,sub-009_ses-002,10.0,f,True,True,58.0,True,True
10,1,sub-010_ses-001,5.0,f,True,True,26.0,True,True
10,2,sub-010_ses-002,10.0,f,True,True,87.0,True,True
11,1,sub-011_ses-001,5.0,m,True,False,17.0,False,False
11,2,sub-011_ses-002,9.0,m,True,False,33.0,True,False
12,1,sub-012_ses-001,8.0,f,True,True,72.0,True,True
12,2,sub-012_ses-002,10.0,f,True,True,72.0,True,True
13,1,sub-013_ses-001,8.0,f,True,True,74.0,True,True
13,2,sub-013_ses-002,11.0,f,True,True,41.0,True,True
14,1,sub-014_ses-001,8.0,f,True,True,26.0,True,True
14,2,sub-014_ses-002,10.0,f,True,True,47.0,True,True
15,1,sub-015_ses-001,8.0,f,True,True,72.0,True,True
15,2,sub-015_ses-002,10.0,f,True,True,67.0,True,True
16,1,sub-016_ses-001,8.0,m,True,True,38.0,True,True
16,2,sub-016_ses-002,10.0,m,True,False,,False,True
17,1,sub-017_ses-001,5.0,f,True,True,73.0,True,True
17,2,sub-017_ses-002,10.0,f,True,True,25.0,True,True
18,1,sub-018_ses-001,7.0,m,True,False,,False,False
18,2,sub-018_ses-002,,,False,False,,False,False
19,1,sub-019_ses-001,9.0,f,True,True,76.0,True,True
19,2,sub-019_ses-002,,,False,False,,False,True
20,1,sub-020_ses-001,7.0,m,True,True,61.0,True,True
20,2,sub-020_ses-002,10.0,m,True,True,48.0,True,True
21,1,sub-021_ses-001,6.0,f,True,True,70.0,True,True
21,2,sub-021_ses-002,11.0,f,True,True,65.0,True,True
22,1,sub-022_ses-001,5.0,f,True,True,102.0,True,True
22,2,sub-022_ses-002,10.0,f,True,True,48.0,True,True
23,1,sub-023_ses-001,5.0,m,True,True,45.0,True,True
23,2,sub-023_ses-002,9.0,m,True,True,53.0,True,True
24,1,sub-024_ses-001,6.0,m,True,True,40.0,True,True
24,2,sub-024_ses-002,10.0,m,True,True,56.0,True,True
25,1,sub-025_ses-001,6.0,m,True,True,56.0,True,True
25,2,sub-025_ses-002,10.0,m,True,False,,False,True
26,1,sub-026_ses-001,6.0,m,True,True,33.0,True,True
26,2,sub-026_ses-002,9.0,m,True,True,43.0,True,True
27,1,sub-027_ses-001,5.0,m,True,False,,False,False
27,2,sub-027_ses-002,,,False,False,,False,False
28,1,sub-028_ses-001,5.0,m,True,True,33.0,True,True
28,2,sub-028_ses-002,9.0,m,True,True,57.0,True,True
29,1,sub-029_ses-001,5.0,m,True,False,9.0,False,False
29,2,sub-029_ses-002,10.0,m,True,False,,False,False
30,1,sub-030_ses-001,6.0,m,True,True,78.0,True,True
30,2,sub-030_ses-002,10.0,m,True,True,81.0,True,True
31,1,sub-031_ses-001,5.0,f,True,False,10.0,False,False
31,2,sub-031_ses-002,11.0,f,True,False,,False,False
32,1,sub-032_ses-001,7.0,m,True,True,38.0,True,True
32,2,sub-032_ses-002,10.0,m,True,True,27.0,True,True
33,1,sub-033_ses-001,7.0,f,True,True,40.0,True,True
33,2,sub-033_ses-002,9.0,f,True,True,46.0,True,True
34,1,sub-034_ses-001,7.0,f,True,True,36.0,True,True
34,2,sub-034_ses-002,10.0,f,True,True,39.0,True,True
35,1,sub-035_ses-001,7.0,m,True,True,40.0,True,True
35,2,sub-035_ses-002,10.0,m,True,True,26.0,True,True
36,1,sub-036_ses-001,7.0,f,True,True,29.0,True,True
36,2,sub-036_ses-002,9.0,f,True,True,64.0,True,True
37,1,sub-037_ses-001,7.0,m,True,False,7.0,False,False
37,2,sub-037_ses-002,11.0,m,True,False,,False,False
38,1,sub-038_ses-001,7.0,f,True,True,61.0,True,True
38,2,sub-038_ses-002,10.0,f,True,True,60.0,True,True
39,1,sub-039_ses-001,5.0,m,True,True,45.0,True,True
39,2,sub-039_ses-002,9.0,m,True,True,80.0,True,True
40,1,sub-040_ses-001,5.0,f,True,True,48.0,True,True
40,2,sub-040_ses-002,10.0,f,True,False,,False,True
41,1,sub-041_ses-001,6.0,m,True,True,40.0,True,True
41,2,sub-041_ses-002,10.0,m,True,True,36.0,True,True
42,1,sub-042_ses-001,6.0,f,True,True,44.0,True,True
42,2,sub-042_ses-002,10.0,f,True,True,55.0,True,True
43,1,sub-043_ses-001,6.0,f,True,True,69.0,True,True
43,2,sub-043_ses-002,10.0,f,True,True,87.0,True,True
44,1,sub-044_ses-001,7.0,m,True,True,40.0,True,True
44,2,sub-044_ses-002,10.0,m,True,True,53.0,True,True
