session,context,subset,accuracy,p_uncorrected,ll,ul
sub-002_ses-001,inter,max,0.6833333333333333,0.0,0.4333333333333333,0.5777777777777777
sub-002_ses-001,intra_human,max,0.5555555555555556,0.157,0.4,0.6005555555555552
sub-002_ses-001,intra_monkey,max,0.44444444444444436,0.79,0.3888888888888889,0.5888888888888889
sub-002_ses-002,inter,max,0.5555555555555556,0.112,0.42777777777777776,0.5777777777777777
sub-002_ses-002,intra_human,max,0.5111111111111111,0.411,0.4,0.611111111111111
sub-002_ses-002,intra_monkey,max,0.5222222222222221,0.345,0.38888888888888895,0.6
sub-003_ses-001,inter,max,0.61875,0.006,0.425,0.575
sub-003_ses-001,intra_human,max,0.4875,0.561,0.3875,0.6125
sub-003_ses-001,intra_monkey,max,0.425,0.869,0.4,0.6125
sub-003_ses-002,inter,max,0.5875,0.024,0.4125,0.58125
sub-003_ses-002,intra_human,max,0.4875,0.549,0.3875,0.6125
sub-003_ses-002,intra_monkey,max,0.525,0.35,0.4,0.6131249999999995
sub-004_ses-001,inter,max,0.6222222222222222,0.001,0.42777777777777776,0.5777777777777777
sub-004_ses-001,intra_human,max,0.5666666666666667,0.122,0.38888888888888895,0.6111111111111109
sub-004_ses-001,intra_monkey,max,0.5666666666666667,0.109,0.3888888888888889,0.5999999999999999
sub-004_ses-002,inter,max,0.5555555555555556,0.1,0.4333333333333333,0.5777777777777777
sub-004_ses-002,intra_human,max,0.38888888888888895,0.951,0.39999999999999997,0.6
sub-004_ses-002,intra_monkey,max,0.4666666666666667,0.652,0.4,0.6000000000000001
sub-006_ses-001,inter,max,0.5333333333333333,0.264,0.4083333333333333,0.5916666666666667
sub-006_ses-001,intra_human,max,0.4499999999999999,0.756,0.36666666666666664,0.6333333333333333
sub-006_ses-001,intra_monkey,max,0.4333333333333333,0.789,0.3833333333333333,0.6166666666666667
sub-006_ses-002,inter,max,0.675,0.0,0.4083333333333334,0.5833333333333334
sub-006_ses-002,intra_human,max,0.4833333333333334,0.535,0.36666666666666664,0.6333333333333333
sub-006_ses-002,intra_monkey,max,0.5666666666666667,0.167,0.36666666666666664,0.6333333333333333
sub-008_ses-001,inter,max,0.6142857142857143,0.009,0.41428571428571426,0.5857142857142856
sub-008_ses-001,intra_human,max,0.48571428571428565,0.556,0.3857142857142857,0.6142857142857143
sub-008_ses-001,intra_monkey,max,0.41428571428571426,0.887,0.3857142857142857,0.6285714285714284
sub-008_ses-002,inter,max,0.48571428571428565,0.63,0.4142857142857143,0.5857142857142856
sub-008_ses-002,intra_human,max,0.4999999999999999,0.529,0.3857142857142857,0.6285714285714284
sub-008_ses-002,intra_monkey,max,0.6428571428571428,0.024,0.3857142857142856,0.6142857142857142
sub-009_ses-001,inter,max,0.5222222222222223,0.311,0.42777777777777776,0.5777777777777778
sub-009_ses-001,intra_human,max,0.5555555555555556,0.14,0.3888888888888889,0.5894444444444441
sub-009_ses-001,intra_monkey,max,0.4111111111111111,0.907,0.4,0.611111111111111
sub-009_ses-002,inter,max,0.5777777777777777,0.033,0.4333333333333333,0.5666666666666667
sub-009_ses-002,intra_human,max,0.4666666666666666,0.683,0.3994444444444444,0.6
sub-009_ses-002,intra_monkey,max,0.4666666666666667,0.672,0.4,0.6
sub-010_ses-001,inter,max,0.55,0.191,0.4,0.6
sub-010_ses-001,intra_human,max,0.4800000000000001,0.531,0.36000000000000004,0.6399999999999999
sub-010_ses-001,intra_monkey,max,0.6,0.099,0.36000000000000004,0.6399999999999999
sub-010_ses-002,inter,max,0.45999999999999996,0.709,0.4,0.5900000000000001
sub-010_ses-002,intra_human,max,0.38,0.926,0.38,0.6399999999999999
sub-010_ses-002,intra_monkey,max,0.52,0.369,0.36000000000000004,0.6399999999999999
sub-012_ses-001,inter,max,0.5285714285714287,0.183,0.4392857142857142,0.5535714285714286
sub-012_ses-001,intra_human,max,0.5571428571428572,0.13,0.4142857142857143,0.5857142857142856
sub-012_ses-001,intra_monkey,max,0.39999999999999997,0.97,0.40714285714285714,0.5857142857142856
sub-012_ses-002,inter,max,0.6357142857142857,0.0,0.4428571428571428,0.5607142857142857
sub-012_ses-002,intra_human,max,0.5214285714285715,0.314,0.41428571428571426,0.5857142857142856
sub-012_ses-002,intra_monkey,max,0.55,0.133,0.41428571428571426,0.5857142857142856
sub-013_ses-001,inter,max,0.5375,0.183,0.41875,0.575
sub-013_ses-001,intra_human,max,0.525,0.346,0.3875,0.625
sub-013_ses-001,intra_monkey,max,0.4625,0.681,0.4,0.6125
sub-013_ses-002,inter,max,0.49375,0.503,0.425,0.58125
sub-013_ses-002,intra_human,max,0.4625,0.67,0.3875,0.6125
sub-013_ses-002,intra_monkey,max,0.3625,0.981,0.4,0.625
sub-014_ses-001,inter,max,0.5399999999999999,0.254,0.4,0.6
sub-014_ses-001,intra_human,max,0.4800000000000001,0.504,0.36,0.6399999999999999
sub-014_ses-001,intra_monkey,max,0.44000000000000006,0.753,0.36000000000000004,0.64
sub-014_ses-002,inter,max,0.45,0.783,0.4,0.5999999999999999
sub-014_ses-002,intra_human,max,0.4,0.853,0.36,0.6399999999999999
sub-014_ses-002,intra_monkey,max,0.54,0.257,0.36,0.6399999999999999
sub-015_ses-001,inter,max,0.5923076923076923,0.006,0.43461538461538457,0.5615384615384615
sub-015_ses-001,intra_human,max,0.523076923076923,0.354,0.41538461538461535,0.5846153846153846
sub-015_ses-001,intra_monkey,max,0.46923076923076923,0.687,0.4153846153846154,0.5846153846153846
sub-015_ses-002,inter,max,0.6384615384615383,0.0,0.4384615384615385,0.5615384615384615
sub-015_ses-002,intra_human,max,0.4461538461538462,0.824,0.40769230769230774,0.5846153846153846
sub-015_ses-002,intra_monkey,max,0.523076923076923,0.346,0.4153846153846154,0.5923076923076922
sub-017_ses-001,inter,max,0.56,0.141,0.41,0.6
sub-017_ses-001,intra_human,max,0.4600000000000001,0.622,0.36,0.6399999999999999
sub-017_ses-001,intra_monkey,max,0.48,0.586,0.36,0.6399999999999999
sub-017_ses-002,inter,max,0.36,0.99,0.4,0.6
sub-017_ses-002,intra_human,max,0.48,0.567,0.36,0.6200000000000001
sub-017_ses-002,intra_monkey,max,0.44000000000000006,0.736,0.36,0.6399999999999999
sub-020_ses-001,inter,max,0.5166666666666667,0.352,0.42777777777777776,0.5722222222222222
sub-020_ses-001,intra_human,max,0.5333333333333333,0.314,0.4,0.611111111111111
sub-020_ses-001,intra_monkey,max,0.5555555555555556,0.187,0.3888888888888889,0.611111111111111
sub-020_ses-002,inter,max,0.5166666666666667,0.391,0.42777777777777776,0.5833333333333333
sub-020_ses-002,intra_human,max,0.5111111111111112,0.394,0.4,0.611111111111111
sub-020_ses-002,intra_monkey,max,0.4333333333333333,0.853,0.4,0.6
sub-021_ses-001,inter,max,0.5346153846153847,0.172,0.4384615384615385,0.5615384615384615
sub-021_ses-001,intra_human,max,0.5,0.453,0.4153846153846154,0.5846153846153846
sub-021_ses-001,intra_monkey,max,0.41538461538461535,0.948,0.41538461538461535,0.5846153846153845
sub-021_ses-002,inter,max,0.5192307692307692,0.307,0.44230769230769224,0.5576923076923077
sub-021_ses-002,intra_human,max,0.4769230769230769,0.654,0.4153846153846154,0.5846153846153846
sub-021_ses-002,intra_monkey,max,0.49230769230769234,0.555,0.4153846153846154,0.5846153846153846
sub-022_ses-001,inter,max,0.4833333333333334,0.633,0.4222222222222222,0.5722222222222223
sub-022_ses-001,intra_human,max,0.4666666666666667,0.655,0.4,0.6
sub-022_ses-001,intra_monkey,max,0.5444444444444444,0.265,0.3888888888888889,0.6
sub-022_ses-002,inter,max,0.7555555555555556,0.0,0.42777777777777776,0.5777777777777777
sub-022_ses-002,intra_human,max,0.45555555555555555,0.726,0.3888888888888889,0.6
sub-022_ses-002,intra_monkey,max,0.47777777777777775,0.587,0.39999999999999997,0.611111111111111
sub-023_ses-001,inter,max,0.4833333333333333,0.625,0.4166666666666667,0.5722222222222222
sub-023_ses-001,intra_human,max,0.5444444444444444,0.248,0.4,0.6000000000000001
sub-023_ses-001,intra_monkey,max,0.5,0.462,0.4,0.6
sub-023_ses-002,inter,max,0.7666666666666667,0.0,0.4222222222222222,0.5722222222222222
sub-023_ses-002,intra_human,max,0.5555555555555556,0.131,0.39999999999999997,0.5999999999999999
sub-023_ses-002,intra_monkey,max,0.5333333333333333,0.295,0.38888888888888895,0.6005555555555552
sub-024_ses-001,inter,max,0.53125,0.223,0.41875,0.58125
sub-024_ses-001,intra_human,max,0.4,0.936,0.4,0.6125
sub-024_ses-001,intra_monkey,max,0.475,0.627,0.39937500000000004,0.6
sub-024_ses-002,inter,max,0.59375,0.021,0.43125,0.575
sub-024_ses-002,intra_human,max,0.625,0.028,0.3875,0.6125
sub-024_ses-002,intra_monkey,max,0.4875,0.542,0.4,0.6125
sub-026_ses-001,inter,max,0.4916666666666666,0.575,0.4083333333333333,0.5999999999999999
sub-026_ses-001,intra_human,max,0.4166666666666667,0.84,0.3833333333333333,0.6333333333333333
sub-026_ses-001,intra_monkey,max,0.4499999999999999,0.736,0.36666666666666664,0.6333333333333333
sub-026_ses-002,inter,max,0.65,0.004,0.4079166666666667,0.5916666666666666
sub-026_ses-002,intra_human,max,0.4833333333333333,0.562,0.3666666666666667,0.6333333333333334
sub-026_ses-002,intra_monkey,max,0.4499999999999999,0.775,0.36666666666666664,0.6166666666666667
sub-028_ses-001,inter,max,0.475,0.651,0.4083333333333333,0.5916666666666666
sub-028_ses-001,intra_human,max,0.5333333333333333,0.326,0.36666666666666664,0.6333333333333333
sub-028_ses-001,intra_monkey,max,0.4333333333333333,0.791,0.36666666666666664,0.6333333333333333
sub-028_ses-002,inter,max,0.7500000000000001,0.0,0.41666666666666663,0.5916666666666666
sub-028_ses-002,intra_human,max,0.45,0.705,0.3833333333333333,0.6166666666666667
sub-028_ses-002,intra_monkey,max,0.4333333333333333,0.756,0.36666666666666664,0.6333333333333333
sub-030_ses-001,inter,max,0.6366666666666665,0.0,0.44333333333333336,0.5633333333333332
sub-030_ses-001,intra_human,max,0.4,0.973,0.42000000000000004,0.5733333333333334
sub-030_ses-001,intra_monkey,max,0.5133333333333334,0.39,0.4133333333333334,0.58
sub-030_ses-002,inter,max,0.6166666666666666,0.001,0.44333333333333336,0.5599999999999999
sub-030_ses-002,intra_human,max,0.5466666666666666,0.139,0.42000000000000004,0.58
sub-030_ses-002,intra_monkey,max,0.48,0.655,0.42000000000000004,0.58
sub-032_ses-001,inter,max,0.5200000000000001,0.358,0.41,0.6
sub-032_ses-001,intra_human,max,0.6199999999999999,0.08,0.36,0.6399999999999999
sub-032_ses-001,intra_monkey,max,0.48,0.583,0.36,0.64
sub-032_ses-002,inter,max,0.5999999999999999,0.064,0.39,0.6000000000000001
sub-032_ses-002,intra_human,max,0.52,0.367,0.36000000000000004,0.6399999999999999
sub-032_ses-002,intra_monkey,max,0.4,0.84,0.36,0.6399999999999999
sub-033_ses-001,inter,max,0.575,0.058,0.425,0.58125
sub-033_ses-001,intra_human,max,0.5,0.464,0.3875,0.6125
sub-033_ses-001,intra_monkey,max,0.5625,0.141,0.3875,0.6
sub-033_ses-002,inter,max,0.56875,0.053,0.425,0.575
sub-033_ses-002,intra_human,max,0.5125,0.408,0.3875,0.6125
sub-033_ses-002,intra_monkey,max,0.425,0.86,0.4,0.6125
sub-034_ses-001,inter,max,0.6142857142857143,0.017,0.4214285714285714,0.5857142857142857
sub-034_ses-001,intra_human,max,0.48571428571428565,0.542,0.3857142857142857,0.6142857142857142
sub-034_ses-001,intra_monkey,max,0.45714285714285713,0.677,0.3857142857142857,0.6142857142857142
sub-034_ses-002,inter,max,0.6285714285714286,0.006,0.42142857142857143,0.5857142857142857
sub-034_ses-002,intra_human,max,0.5714285714285714,0.134,0.3857142857142857,0.6142857142857143
sub-034_ses-002,intra_monkey,max,0.5,0.442,0.3857142857142856,0.6142857142857143
sub-035_ses-001,inter,max,0.54,0.227,0.4,0.6
sub-035_ses-001,intra_human,max,0.54,0.278,0.36000000000000004,0.64
sub-035_ses-001,intra_monkey,max,0.5,0.428,0.36,0.62
sub-035_ses-002,inter,max,0.5999999999999999,0.051,0.41,0.6
sub-035_ses-002,intra_human,max,0.7,0.004,0.36,0.6399999999999999
sub-035_ses-002,intra_monkey,max,0.5,0.448,0.36,0.6399999999999999
sub-036_ses-001,inter,max,0.4800000000000001,0.594,0.4,0.6
sub-036_ses-001,intra_human,max,0.38,0.889,0.36,0.64
sub-036_ses-001,intra_monkey,max,0.48,0.564,0.36,0.6399999999999999
sub-036_ses-002,inter,max,0.63,0.011,0.4,0.6
sub-036_ses-002,intra_human,max,0.5000000000000001,0.423,0.36,0.6399999999999999
sub-036_ses-002,intra_monkey,max,0.62,0.056,0.3400000000000001,0.6399999999999999
sub-038_ses-001,inter,max,0.5875,0.009,0.4375,0.5666666666666667
sub-038_ses-001,intra_human,max,0.5083333333333333,0.469,0.4166666666666667,0.5916666666666667
sub-038_ses-001,intra_monkey,max,0.5000000000000001,0.475,0.4083333333333334,0.5916666666666667
sub-038_ses-002,inter,max,0.575,0.02,0.4372916666666667,0.5625
sub-038_ses-002,intra_human,max,0.5333333333333334,0.251,0.41666666666666663,0.5916666666666666
sub-038_ses-002,intra_monkey,max,0.4416666666666667,0.83,0.4083333333333333,0.5837499999999997
sub-039_ses-001,inter,max,0.5166666666666666,0.347,0.4222222222222222,0.5722222222222222
sub-039_ses-001,intra_human,max,0.5888888888888889,0.069,0.4,0.6000000000000001
sub-039_ses-001,intra_monkey,max,0.5555555555555556,0.171,0.39999999999999997,0.6000000000000001
sub-039_ses-002,inter,max,0.6166666666666666,0.005,0.42777777777777776,0.5722222222222222
sub-039_ses-002,intra_human,max,0.4888888888888888,0.531,0.38888888888888884,0.5888888888888889
sub-039_ses-002,intra_monkey,max,0.5444444444444445,0.24,0.39999999999999997,0.6111111111111112
sub-041_ses-001,inter,max,0.5285714285714286,0.291,0.4214285714285714,0.5857142857142857
sub-041_ses-001,intra_human,max,0.5571428571428572,0.174,0.3714285714285714,0.6142857142857142
sub-041_ses-001,intra_monkey,max,0.45714285714285713,0.68,0.3857142857142856,0.6142857142857142
sub-041_ses-002,inter,max,0.5571428571428572,0.137,0.4214285714285714,0.5857142857142857
sub-041_ses-002,intra_human,max,0.4571428571428572,0.693,0.3857142857142856,0.6142857142857142
sub-041_ses-002,intra_monkey,max,0.42857142857142855,0.825,0.38499999999999995,0.6142857142857143
sub-042_ses-001,inter,max,0.50625,0.435,0.425,0.5815624999999998
sub-042_ses-001,intra_human,max,0.5875,0.079,0.3875,0.6125
sub-042_ses-001,intra_monkey,max,0.5375,0.266,0.3875,0.6125
sub-042_ses-002,inter,max,0.54375,0.162,0.425,0.5875
sub-042_ses-002,intra_human,max,0.4625,0.713,0.4,0.6125
sub-042_ses-002,intra_monkey,max,0.575,0.114,0.4,0.6125
sub-043_ses-001,inter,max,0.5230769230769231,0.261,0.44230769230769224,0.5692307692307692
sub-043_ses-001,intra_human,max,0.48461538461538456,0.646,0.415,0.5923076923076922
sub-043_ses-001,intra_monkey,max,0.5153846153846154,0.363,0.4153846153846154,0.5849999999999996
sub-043_ses-002,inter,max,0.5923076923076922,0.008,0.4384615384615384,0.5653846153846154
sub-043_ses-002,intra_human,max,0.5230769230769231,0.309,0.4153846153846154,0.5846153846153846
sub-043_ses-002,intra_monkey,max,0.4615384615384615,0.751,0.40769230769230774,0.5923076923076923
sub-044_ses-001,inter,max,0.55,0.124,0.41875,0.575
sub-044_ses-001,intra_human,max,0.5125,0.388,0.3875,0.6125
sub-044_ses-001,intra_monkey,max,0.575,0.135,0.3875,0.6125
sub-044_ses-002,inter,max,0.55625,0.124,0.4246875,0.58125
sub-044_ses-002,intra_human,max,0.475,0.617,0.3875,0.6125
sub-044_ses-002,intra_monkey,max,0.5625,0.142,0.3875,0.6125
