class,accuracy,session
h1,0.656,sub-001
h2,0.712,sub-001
m1,0.784,sub-001
m2,0.664,sub-001
h1,0.4811320754716981,sub-002
h2,0.5794392523364486,sub-002
m1,0.5566037735849056,sub-002
m2,0.5754716981132075,sub-002
h1,0.5673076923076923,sub-003
h2,0.5769230769230769,sub-003
m1,0.5384615384615384,sub-003
m2,0.7115384615384616,sub-003
h1,0.5925925925925926,sub-004
h2,0.5447761194029851,sub-004
m1,0.5223880597014925,sub-004
m2,0.5074626865671642,sub-004
h1,0.56,sub-005
h2,0.54,sub-005
m1,0.5,sub-005
m2,0.58,sub-005
h1,0.625,sub-006
h2,0.6,sub-006
m1,0.625,sub-006
m2,0.5679012345679012,sub-006
h1,0.45714285714285713,sub-007
h2,0.4714285714285714,sub-007
m1,0.5571428571428572,sub-007
m2,0.5285714285714286,sub-007
h1,0.5308641975308642,sub-008
h2,0.6,sub-008
m1,0.6296296296296297,sub-008
m2,0.5308641975308642,sub-008
h1,0.5631067961165048,sub-009
h2,0.5728155339805825,sub-009
m1,0.5631067961165048,sub-009
m2,0.6057692307692307,sub-009
h1,0.5909090909090909,sub-010
h2,0.6486486486486487,sub-010
m1,0.5855855855855856,sub-010
m2,0.6181818181818182,sub-010
h1,0.574468085106383,sub-012
h2,0.6126760563380281,sub-012
m1,0.5815602836879432,sub-012
m2,0.6,sub-012
h1,0.5217391304347826,sub-013
h2,0.5789473684210527,sub-013
m1,0.5350877192982456,sub-013
m2,0.4956521739130435,sub-013
h1,0.5633802816901409,sub-014
h2,0.4714285714285714,sub-014
m1,0.5285714285714286,sub-014
m2,0.4714285714285714,sub-014
h1,0.5109489051094891,sub-015
h2,0.5808823529411765,sub-015
m1,0.6102941176470589,sub-015
m2,0.5955882352941176,sub-015
h1,0.6571428571428571,sub-016
h2,0.5714285714285714,sub-016
m1,0.6857142857142857,sub-016
m2,0.4857142857142857,sub-016
h1,0.53125,sub-017
h2,0.5,sub-017
m1,0.4845360824742268,sub-017
m2,0.5416666666666666,sub-017
h1,0.7733333333333333,sub-019
h2,0.64,sub-019
m1,0.6533333333333333,sub-019
m2,0.7333333333333333,sub-019
h1,0.44339622641509435,sub-020
h2,0.5094339622641509,sub-020
m1,0.5377358490566038,sub-020
m2,0.5327102803738317,sub-020
h1,0.5925925925925926,sub-021
h2,0.5555555555555556,sub-021
m1,0.6074074074074074,sub-021
m2,0.5111111111111111,sub-021
h1,0.5704697986577181,sub-022
h2,0.5436241610738255,sub-022
m1,0.5503355704697986,sub-022
m2,0.5945945945945946,sub-022
h1,0.6526315789473685,sub-023
h2,0.5416666666666666,sub-023
m1,0.6354166666666666,sub-023
m2,0.5625,sub-023
h1,0.4421052631578947,sub-024
h2,0.5368421052631579,sub-024
m1,0.5684210526315789,sub-024
m2,0.5052631578947369,sub-024
h1,0.5636363636363636,sub-025
h2,0.6,sub-025
m1,0.6,sub-025
m2,0.5272727272727272,sub-025
h1,0.4931506849315068,sub-026
h2,0.5753424657534246,sub-026
m1,0.5675675675675675,sub-026
m2,0.56,sub-026
h1,0.449438202247191,sub-028
h2,0.550561797752809,sub-028
m1,0.4772727272727273,sub-028
m2,0.6022727272727273,sub-028
h1,0.5668789808917197,sub-030
h2,0.5859872611464968,sub-030
m1,0.6089743589743589,sub-030
m2,0.6602564102564102,sub-030
h1,0.6984126984126984,sub-032
h2,0.671875,sub-032
m1,0.53125,sub-032
m2,0.5555555555555556,sub-032
h1,0.5294117647058824,sub-033
h2,0.627906976744186,sub-033
m1,0.5882352941176471,sub-033
m2,0.6705882352941176,sub-033
h1,0.5405405405405406,sub-034
h2,0.5866666666666667,sub-034
m1,0.5135135135135135,sub-034
m2,0.6351351351351351,sub-034
h1,0.5384615384615384,sub-035
h2,0.6363636363636364,sub-035
m1,0.6153846153846154,sub-035
m2,0.6,sub-035
h1,0.5730337078651685,sub-036
h2,0.7078651685393258,sub-036
m1,0.6179775280898876,sub-036
m2,0.5888888888888889,sub-036
h1,0.5666666666666667,sub-038
h2,0.575,sub-038
m1,0.55,sub-038
m2,0.6,sub-038
h1,0.616,sub-039
h2,0.648,sub-039
m1,0.648,sub-039
m2,0.568,sub-039
h1,0.6,sub-040
h2,0.6222222222222222,sub-040
m1,0.4666666666666667,sub-040
m2,0.6,sub-040
h1,0.52,sub-041
h2,0.6,sub-041
m1,0.56,sub-041
m2,0.5526315789473685,sub-041
h1,0.47368421052631576,sub-042
h2,0.45263157894736844,sub-042
m1,0.5,sub-042
m2,0.4791666666666667,sub-042
h1,0.5741935483870968,sub-043
h2,0.6,sub-043
m1,0.567741935483871,sub-043
m2,0.577922077922078,sub-043
h1,0.44565217391304346,sub-044
h2,0.5714285714285714,sub-044
m1,0.4782608695652174,sub-044
m2,0.4725274725274725,sub-044
